timestamp,event_type,seq_no,attempt_no,rtt_seconds
1780661963.8475363,SEND,416,1,
1780661963.8480368,ACK,416,1,0.0005004405975341797
1780661963.8484452,SEND,417,1,
1780661963.8559902,ACK,417,1,0.007544994354248047
1780661963.856885,SEND,418,1,
1780661963.8578968,ACK,418,1,0.0010118484497070312
1780661963.8583796,SEND,419,1,
1780661963.858948,ACK,419,1,0.000568389892578125
1780661963.8593385,SEND,420,1,
1780661963.8598747,ACK,420,1,0.0005362033843994141
1780661963.86025,SEND,421,1,
1780661963.860719,ACK,421,1,0.00046896934509277344
1780661963.861121,SEND,422,1,
1780661963.8615355,ACK,422,1,0.0004146099090576172
1780661963.8619566,SEND,423,1,
1780661963.8626342,ACK,423,1,0.0006775856018066406
1780661963.8630862,SEND,424,1,
1780661963.863747,ACK,424,1,0.0006606578826904297
1780661963.8643274,SEND,425,1,
1780661963.8648717,ACK,425,1,0.0005443096160888672
1780661963.865312,SEND,426,1,
1780661963.866425,ACK,426,1,0.0011129379272460938
1780661963.8673244,SEND,427,1,
1780661963.8705971,ACK,427,1,0.0032727718353271484
1780661963.8789225,SEND,428,1,
1780661963.8796165,ACK,428,1,0.0006940364837646484
1780661963.8801506,SEND,429,1,
1780661963.881291,ACK,429,1,0.0011403560638427734
1780661963.8822837,SEND,430,1,
1780661963.8833294,ACK,430,1,0.0010457038879394531
1780661963.8853931,SEND,431,1,
1780661963.8877122,ACK,431,1,0.0023190975189208984
1780661963.8888488,SEND,432,1,
1780661963.892757,ACK,432,1,0.0039081573486328125
1780661963.8959858,SEND,433,1,
1780661965.8999507,TIMEOUT,433,1,
1780661965.900275,SEND,433,2,
1780661965.902608,ACK,433,2,0.002332925796508789
1780661965.9061255,SEND,434,1,
1780661965.9069724,ACK,434,1,0.00084686279296875
1780661965.907951,SEND,435,1,
1780661965.9092393,ACK,435,1,0.0012881755828857422
1780661965.9103158,SEND,436,1,
1780661965.9137354,ACK,436,1,0.003419637680053711
1780661965.9197392,SEND,437,1,
1780661965.9207802,ACK,437,1,0.0010409355163574219
1780661965.9218092,SEND,438,1,
1780661965.92283,ACK,438,1,0.0010209083557128906
1780661965.9238362,SEND,439,1,
1780661965.9246993,ACK,439,1,0.0008630752563476562
1780661965.9279585,SEND,440,1,
1780661967.9354708,TIMEOUT,440,1,
1780661967.9357343,SEND,440,2,
1780661967.9382255,ACK,440,2,0.0024912357330322266
1780661967.9419782,SEND,441,1,
1780661967.9428716,ACK,441,1,0.0008933544158935547
1780661967.943808,SEND,442,1,
1780661967.944744,ACK,442,1,0.0009360313415527344
1780661967.9456325,SEND,443,1,
1780661967.9465125,ACK,443,1,0.0008800029754638672
1780661967.9557784,SEND,444,1,
1780661967.9568183,ACK,444,1,0.0010399818420410156
1780661967.9577317,SEND,445,1,
1780661967.9588985,ACK,445,1,0.0011668205261230469
1780661967.959914,SEND,446,1,
1780661967.96119,ACK,446,1,0.0012760162353515625
1780661967.961991,SEND,447,1,
1780661967.9639368,ACK,447,1,0.0019457340240478516
1780661967.9648519,SEND,448,1,
1780661967.9737973,ACK,448,1,0.008945465087890625
1780661967.9760957,SEND,449,1,
1780661967.9786127,ACK,449,1,0.0025169849395751953
1780661967.9794931,SEND,450,1,
1780661967.9809647,ACK,450,1,0.0014715194702148438
1780661967.9829242,SEND,451,1,
1780661967.9838705,ACK,451,1,0.0009462833404541016
1780661967.9863243,SEND,452,1,
1780661967.9889739,ACK,452,1,0.002649545669555664
1780661967.9901242,SEND,453,1,
1780661967.9947095,ACK,453,1,0.00458526611328125
1780661967.9982543,SEND,454,1,
1780661967.9994106,ACK,454,1,0.0011563301086425781
1780661968.0005107,SEND,455,1,
1780661968.0036275,ACK,455,1,0.0031168460845947266
1780661968.0062237,SEND,456,1,
1780661968.00763,ACK,456,1,0.0014064311981201172
1780661968.0142496,SEND,457,1,
1780661968.015185,ACK,457,1,0.0009355545043945312
1780661968.015708,SEND,458,1,
1780661968.017006,ACK,458,1,0.0012979507446289062
1780661968.018571,SEND,459,1,
1780661968.021835,ACK,459,1,0.003264188766479492
1780661968.0228426,SEND,460,1,
1780661968.0274165,ACK,460,1,0.004573822021484375
1780661968.03106,SEND,461,1,
1780661968.0317929,ACK,461,1,0.0007328987121582031
1780661968.0331788,SEND,462,1,
1780661968.0343533,ACK,462,1,0.0011744499206542969
1780661968.037366,SEND,463,1,
1780661968.0388033,ACK,463,1,0.0014374256134033203
1780661968.0399919,SEND,464,1,
1780661968.0445478,ACK,464,1,0.004555940628051758
1780661968.0481818,SEND,465,1,
1780661968.0489924,ACK,465,1,0.0008106231689453125
1780661968.050149,SEND,466,1,
1780661968.0518138,ACK,466,1,0.001664876937866211
1780661968.0551112,SEND,467,1,
1780661968.0559506,ACK,467,1,0.0008394718170166016
1780661968.0570524,SEND,468,1,
1780661968.060949,ACK,468,1,0.0038967132568359375
1780661968.0644708,SEND,469,1,
1780661968.0654602,ACK,469,1,0.0009894371032714844
1780661968.066931,SEND,470,1,
1780661968.0695045,ACK,470,1,0.0025734901428222656
1780661968.0713744,SEND,471,1,
1780661968.072265,ACK,471,1,0.0008904933929443359
1780661968.072938,SEND,472,1,
1780661968.0762107,ACK,472,1,0.0032727718353271484
1780661968.0811079,SEND,473,1,
1780661968.0819168,ACK,473,1,0.0008089542388916016
1780661968.0828001,SEND,474,1,
1780661968.0846593,ACK,474,1,0.0018591880798339844
1780661968.0876672,SEND,475,1,
1780661968.0892603,ACK,475,1,0.0015931129455566406
1780661968.090122,SEND,476,1,
1780661968.094275,ACK,476,1,0.004153013229370117
1780661968.097875,SEND,477,1,
1780661968.098661,ACK,477,1,0.00078582763671875
1780661968.0995293,SEND,478,1,
1780661968.100871,ACK,478,1,0.0013418197631835938
1780661968.1043413,SEND,479,1,
1780661968.1056602,ACK,479,1,0.0013189315795898438
1780661968.106893,SEND,480,1,
1780661968.1109214,ACK,480,1,0.0040283203125
1780661968.114348,SEND,481,1,
1780661968.115139,ACK,481,1,0.0007910728454589844
1780661968.1157675,SEND,482,1,
1780661968.1169102,ACK,482,1,0.001142740249633789
1780661968.1193206,SEND,483,1,
1780661968.121556,ACK,483,1,0.00223541259765625
1780661968.1229444,SEND,484,1,
1780661968.1269236,ACK,484,1,0.003979206085205078
1780661968.13035,SEND,485,1,
1780661968.1312075,ACK,485,1,0.0008573532104492188
1780661968.1319363,SEND,486,1,
1780661968.1331406,ACK,486,1,0.0012042522430419922
1780661968.1347466,SEND,487,1,
1780661970.1393926,TIMEOUT,487,1,
1780661970.1398628,SEND,487,2,
1780661970.1440806,ACK,487,2,0.004217863082885742
1780661970.1479456,SEND,488,1,
1780661970.149468,ACK,488,1,0.0015223026275634766
1780661970.1518197,SEND,489,1,
1780661970.1530752,ACK,489,1,0.0012555122375488281
1780661970.1544142,SEND,490,1,
1780661970.1554804,ACK,490,1,0.0010662078857421875
1780661970.156935,SEND,491,1,
1780661972.171846,TIMEOUT,491,1,
1780661972.1722686,SEND,491,2,
1780661972.1759596,ACK,491,2,0.003690958023071289
1780661972.179362,SEND,492,1,
1780661972.1805162,ACK,492,1,0.001154184341430664
1780661972.1815948,SEND,493,1,
1780661972.183623,ACK,493,1,0.002028226852416992
1780661972.1853962,SEND,494,1,
1780661972.186685,ACK,494,1,0.0012888908386230469
1780661972.1878335,SEND,495,1,
1780661974.205459,TIMEOUT,495,1,
1780661974.205846,SEND,495,2,
1780661974.210384,ACK,495,2,0.004537820816040039
1780661974.2139213,SEND,496,1,
1780661976.2166157,TIMEOUT,496,1,
1780661976.2170782,SEND,496,2,
1780661978.2221346,TIMEOUT,496,2,
1780661978.2225258,SEND,496,3,
1780661978.2258446,ACK,496,3,0.00331878662109375
1780661978.22952,SEND,497,1,
1780661978.2307246,ACK,497,1,0.0012044906616210938
1780661978.2318347,SEND,498,1,
1780661978.2338362,ACK,498,1,0.002001523971557617
1780661978.2355492,SEND,499,1,
1780661978.236911,ACK,499,1,0.001361846923828125
1780661978.2384005,SEND,500,1,
1780661978.245779,ACK,500,1,0.007378578186035156
1780661978.246493,SEND,501,1,
1780661978.2472885,ACK,501,1,0.0007953643798828125
1780661978.2480445,SEND,502,1,
1780661978.248755,ACK,502,1,0.0007104873657226562
1780661978.2499762,SEND,503,1,
1780661980.2521677,TIMEOUT,503,1,
1780661980.2523904,SEND,503,2,
1780661980.2546747,ACK,503,2,0.0022842884063720703
1780661980.2579412,SEND,504,1,
1780661982.267797,TIMEOUT,504,1,
1780661982.2680066,SEND,504,2,
1780661982.2701452,ACK,504,2,0.0021386146545410156
1780661982.2736545,SEND,505,1,
1780661982.2744033,ACK,505,1,0.0007488727569580078
1780661982.27513,SEND,506,1,
1780661982.276235,ACK,506,1,0.0011050701141357422
1780661982.2768667,SEND,507,1,
